PXD ID	Country	Curator
PXD000001	UK	attila
PXD000002	UK	attila
PXD000004	USA	attila
PXD000005	Sweden	attila
PXD000006	Ireland	attila
PXD000007	Australia	attila
PXD000008	Netherlands	attila
PXD000009	France	attila
PXD000010	Ireland	attila
PXD000011	UK	attila
PXD000012	Belgium	attila
PXD000013	Belgium	attila
PXD000014	USA	attila
PXD000015	France	attila
PXD000016	Germany	attila
PXD000017	UK	attila
PXD000018	UK	attila
PXD000019	Belgium	attila
PXD000020	China	attila
PXD000021	Belgium	attila
PXD000022	France	attila
PXD000023	USA	attila
PXD000024	France	attila
PXD000025	Taiwan	attila
PXD000026	Spain	attila
PXD000027	China	attila
PXD000028	Australia	attila
PXD000029	Czech Republic	attila
PXD000030	Italy	attila
PXD000031	Sweden	attila
PXD000032	France	attila
PXD000033	Austria	attila
PXD000034	China	attila
PXD000035	Canada	attila
PXD000036	USA	attila
PXD000038	USA	attila
PXD000039	Spain	attila
PXD000041	Germany	attila
PXD000042	Netherlands	attila
PXD000043	France	attila
PXD000044	France	attila
PXD000045	Canada	attila
PXD000046	Netherlands	attila
PXD000047	UK	attila
PXD000048	Austria	attila
PXD000049	UK	attila
PXD000050	Switzerland	attila
PXD000051	France	attila
PXD000052	France	attila
PXD000053	Japan	attila
PXD000054	Germany	attila
PXD000055	UK	attila
PXD000056	Germany	attila
PXD000057	Brazil	attila
PXD000058	Germany	attila
PXD000059	France	attila
PXD000060	Belgium	attila
PXD000061	Germany	attila
PXD000062	USA	attila
PXD000063	USA	attila/attila/attila
PXD000064	USA	attila
PXD000065	Sweden	attila
PXD000066	Japan	attila
PXD000067	USA	attila
PXD000068	Ireland	attila
PXD000069	Switzerland	attila
PXD000070	UK	attila
PXD000071	Japan	attila
PXD000072	Netherlands	attila
PXD000073	Netherlands	attila
PXD000076	Italy	attila
PXD000078	Germany	attila
PXD000079	Australia	attila
PXD000082	Taiwan	attila
PXD000083	UK	attila
PXD000084	Canada	attila
PXD000089	Japan	attila
PXD000090	China	attila
PXD000094	France	attila
PXD000095	UK	attila
PXD000104	USA	attila
PXD000105	France	attila
PXD000106	Italy	attila
PXD000107	France	attila
PXD000109	UK	attila
PXD000110	USA	attila
PXD000111	Denmark	attila
PXD000112	Netherlands	attila
PXD000113	Ireland	attila
PXD000114	USA	attila
PXD000115	UK	attila/gerhard
PXD000116	India	attila
PXD000117	UK	attila
PXD000118	USA	attila/gerhard
PXD000119	Italy	attila
PXD000120	Australia	attila
PXD000121	USA	attila
PXD000122	Austria	attila
PXD000123	Australia	attila
PXD000124	Belgium	attila
PXD000125	Germany	attila
PXD000126	Germany	attila
PXD000127	Germany	attila
PXD000128	Canada	attila
PXD000129	France	attila
PXD000130	Belgium	attila
PXD000131	Netherlands	attila
PXD000132	Germany	attila
PXD000133	USA	attila
PXD000134	Netherlands	attila
